fish_id,name_english,alt_name,name_latin,swim,cm_max,uncare,breeding_difficulty,availability,school,tank_size_liter,temperature_min,temperature_max,agression,origin,region,isfish,phmin,phmax,more,family
438,Lake Wanam rainbowfish,Emerald Rainbowfish,Glossolepis wanamensis,2,10,2,4,2,3,95,25,30,1,"New Guinea,",3,1,7,8,0,Melanotaeniidae
439,Threadfin rainbowfish,,Iriatherina werneri,2,4,2,4,2,3,50,22,30,1,"New Guinea, Australia,","3, 9",1,6,7.5,0,Melanotaeniidae
440,New Guinea rainbowfish,,Melanotaenia affinis,2,12,3,3,3,3,115,20,30,1,"New Guinea,",3,1,7,8,0,Melanotaeniidae
441,Western rainbowfish,,Melanotaenia australis,2,12,2,3,1,3,115,22,27,1,"Australia,",9,1,6.5,8,0,Melanotaeniidae
442,Boeseman's rainbowfish,,Melanotaenia boesemani,2,11,2,3,2,3,115,27,30,1,"New Guinea,",3,1,7,8,0,Melanotaeniidae
443,Duboulayi's rainbowfish,crimson-spotted rainbowfish,Melanotaenia duboulayi,2,12,2,3,2,3,115,18,28,1,"Australia,",9,1,7,8,0,Melanotaeniidae
444,Australian rainbowfish,,Melanotaenia fluviatilis,2,11,2,3,2,3,115,20,25,1,"Australia,",9,1,6.5,8,0,Melanotaeniidae
445,Lake Tebera rainbowfish,,Melanotaenia herbertaxelrodi,2,9,2,3,2,3,95,20,26,1,"New Guinea,",3,1,7,8,0,Melanotaeniidae
446,Lake Kutubu rainbowfish,Turquoise Rainbowfish,Melanotaenia lacustris,2,11,2,3,2,3,110,20,25,1,"New Guinea,",3,1,7,8,0,Melanotaeniidae
447,Lake Kurumoi rainbowfish,Sunset Dwarf Rainbowfish,Melanotaenia parva,2,8,2,3,2,3,110,22,26,1,"New Guinea,",3,1,7,8,0,Melanotaeniidae
448,Neon rainbowfish,,Melanotaenia praecox,2,8,2,3,2,3,110,23,28,1,"New Guinea,",3,1,6.5,7.5,0,Melanotaeniidae
449,Eastern rainbowfish,,Melanotaenia splendida splendida,2,15,2,3,1,3,190,24,29,1,"Australia,",9,1,6.5,8,0,Melanotaeniidae
450,Banded rainbowfish,,Melanotaenia trifasciata,2,15,3,3,2,3,190,24,29,1,"Australia,",9,1,6.5,8,0,Melanotaeniidae
451,Celebes rainbow,,Marosatherina ladigesi,2,8,1,3,2,3,95,22,28,1,"Sulawesi,",9,1,7,8,0,Melanotaeniidae
452,Forktail blue-eye,,Pseudomugil furcatus,2,5.5,2,3,2,3,85,24,28,1,"New Guinea,",3,1,6,7.5,0,Pseudomugilidae
453,Spotted blue-eye,,Pseudomugil gertrudae,2,3.8,2,2,2,3,65,21,28,1,"Australia, Aru Islands,",9,1,6,7.5,0,Pseudomugilidae
454,Pacific blue-eye,,Pseudomugil signifer,2,7,2,3,2,3,95,20,26,1,"Australia,",9,1,6.5,8,0,Pseudomugilidae
455,Delicate blue-eye,,Pseudomugil tenellus,2,5.5,2,3,2,3,75,25,32,1,"Australia, New Guinea,","3, 9",1,6,7.5,0,Pseudomugilidae
456,Madagascar rainbowfish,,Bedotia madagascariensis,2,8.5,2,3,2,3,170,23,32,1,"Madagascar,",2,1,6.5,7.5,0,Bedotiidae
457,Tiger barb,Sumatra barb,Puntigrus tetrazona,2,7,4,3,4,3,75,20,26,2,"Sumatra,",3,1,6,8,1,Cyprinidae
458,Cherry barb,,Puntius titteya,2,5,4,2,4,3,75,22,27,1,"Sri Lanka,",4,1,6,8,0,Cyprinidae
459,Mosquito rasbora,Chilli rasbora,Boraras brigittae,2,2,2,2,2,3,25,22,28,1,"Borneo,",3,1,5,7,1,Cyprinidae
460,Medaka,"Japanese rice fish, Japanese ricefish",Oryzias latipes,2,3.5,4,2,2,3,35,16,22,1,"Japan, Vietnam, China, Korea,","6, 3",1,6.5,7.5,1,Adrianichthyidae
461,Midas Cichlid,,Amphilophus citrinellus,2,35,1,3,1,1,300,21,26,3,"Nicaragua, Costa Rica,",5,1,7,8,0,Cichlidae
58,Convict Cichlid,,Amatitlania nigrofasciata,2,15,3,2,3,2,95,24,28,3,Central America,5,1,6.5,8,0,Cichlidae
62,Vaillant's Chocolate Gourami,,Sphaerichthys vaillanti,2,5.5,3,3,2,3,75,21,25,1,"Borneo,",3,1,5,6.5,0,Osphronemidae
119,Paradise Threadfin,,Polynemus paradiseus,1,25,1,4,1,2,285,24,28,2,"South Asia, South East Asia","4, 3",1,6.5,8,0,Polynemidae
156,Vampire Tetra,sabre tooth tetra,Hydrocyon scomberoides,2,30,1,4,1,2,700,24,28,2,"Brazil, Bolivia, Peru, Ecuador,",1,1,5,7.5,0,Alestidae
462,Redhead Cichlid,,Vieja melanurus,2,37,2,4,1,2,285,25,28,1,"Mexico, Belize, Guatemala,",1,1,6.5,8,0,Cichlidae
248,Sturgeon Catfish,Kite Pleco,Lamontichthys filamentosus,1,16,1,4,2,2,135,22,30,1,"Brazil, Bolivia, Peru, Ecuador,",1,1,6,7.5,0,Loricariidae
249,Redhook,Silver dollar,Myloplus rubripinnis,2,25,2,4,3,3,265,23,27,1,South America,1,1,5.5,7.5,0,Serrasalmidae
278,Rainbow Cichlid,,Herotilapia multispinosa,2,16,3,3,3,2,100,22,28,1,"Honduras, Nicaragua, Costa Rica,",5,1,7,8,0,Cichlidae
55,Yellow Kribensis,,Pelvicachromis humilis,2,12.5,3,3,2,2,115,24,27,2,"Sierra Leone, Liberia, Guinea,",2,1,6,7.5,0,Cichlidae
282,Western Mosquitofish,,Gambusia affinis,2,7.5,3,1,2,2,25,18,27,3,"United States, Mexico,",8,1,6,8,0,Poeciliidae
288,Blood Parrot Cichlid,,A. citrinellus x V. synspilum,2,20,3,4,3,1,120,22,28,2,"no natural occurrence,",A,1,6.5,7.5,0,Cichlidae
315,Orange Hatchet Danio,,Laubuka dadiburjori ,2,3,3,2,2,3,50,20,24,1,India,4,1,6,7.5,0,Cyprinidae
374,Flowerhorn cichlid,,Amphilophus hybrid,2,40,3,3,2,1,340,25,31,3,"no natural occurrence,",A,1,6.5,7.8,0,Cichlidae
1,Brown-Point Shield Skin,,Aspidoras fuscoguttatus,1,3.8,2,4,1,3,50,22,25,1,"Brazil, Peru,",1,1,6,7.2,0,Callichthyidae
2,Aspidoras Cory-Cat,,Aspidoras raimundi,1,4.5,2,4,1,3,55,20,25,1,"Brazil,",1,1,6,7.5,0,Callichthyidae
3,Loach catfish,,Aspidoras rochai,1,4.4,2,4,1,3,55,21,25,1,"Brazil,",1,1,6,7.5,0,Callichthyidae
4,Sixray cory,,Aspidoras pauciradiatus,1,3.5,2,3,1,3,50,21,27,1,"Brazil,",1,1,5.5,7.2,1,Callichthyidae
5,Giant Brochis,Britski's catfish,Brochis britskii,1,9,2,4,2,3,150,21,26,1,"Brazil,",1,1,6,7.5,0,Callichthyidae
6,Emerald catfish,,Corydoras splendens ,1,8,2,4,2,3,150,21,28,1,"Brazil, Peru, Ecuador, Colombia,",1,1,6.5,7.5,0,Callichthyidae
7,Hognosed brochis,,Brochis multiradiatus,1,9,2,4,2,3,150,21,26,1,"Ecuador, Peru,",1,1,6.5,7.5,0,Callichthyidae
8,Adolfo's cory,,Corydoras adolfoi,1,6,3,3,3,3,75,21,26,1,"Brazil, Colombia,",1,1,6,7.2,0,Callichthyidae
9,Banded cory,,Scleromystax barbatus,1,10,2,3,2,3,150,19,24,2,"Brazil,",1,1,6.5,7.8,0,Callichthyidae
10,Masked cory,bandit cory,Corydoras metae,1,5,3,3,3,3,55,21,26,1,"Colombia, Venezuela,",1,1,6,7.5,0,Callichthyidae
11,Barred-tail cory,,Corydoras cochui,1,3.5,2,4,2,3,50,21,28,1,"Brazil,",1,1,6,7.5,1,Callichthyidae
12,Blackstripe cory,,Corydoras bondi,1,5,2,4,1,3,55,21,26,1,The Guianas,1,1,6,7.5,0,Callichthyidae
13,Blacktop cory,,Corydoras acutus,1,4.4,2,4,2,3,50,22,28,1,"Brazil, Peru, Ecuador, Bolivia,",1,1,6,7.5,0,Callichthyidae
14,Blue cory,,Corydoras nattereri,1,6.5,2,3,2,3,75,20,23,1,"Brazil,",1,1,6,7.5,0,Callichthyidae
15,Spotted cory,,Corydoras melanistius,1,5.5,2,3,2,3,60,22,26,1,The Guianas,1,1,6,7.5,0,Callichthyidae
16,Bronze cory,Fairy cory,Corydoras aeneus,1,7.5,3,3,4,3,75,21,27,1,South America,1,1,6,7.5,0,Callichthyidae
17,Fairy cory,Caracha,Corydoras atropersonatus,1,5,3,3,3,3,60,21,27,1,"Ecuador, Peru,",1,1,6,7.5,0,Callichthyidae
18,Ehrhardt's cory,,Corydoras ehrhardti,1,5,3,3,2,3,60,19,25,1,"Brazil,",1,1,6,7.5,0,Callichthyidae
19,Evelyn's cory,,Corydoras evelynae,1,4,2,4,2,3,55,22,26,1,"Brazil,",1,1,6,7.5,0,Callichthyidae
20,Dirty Bandit Cory,Loxozonus cory,Corydoras loxozonus,1,5,2,3,1,3,60,21,24,1,"Colombia,",1,1,6,7.5,0,Callichthyidae
21,Nain dwarf cory,,Corydoras nanus,1,4.5,2,4,1,3,60,22,26,1,The Guianas,1,1,6,7.5,0,Callichthyidae
22,Long nosed arched cory,,Corydoras narcissus,1,7,2,4,1,3,115,23,25,1,"Brazil,",1,1,6,7.5,0,Callichthyidae
23,Dwarf cory,,Corydoras hastatus,1,3.2,3,3,2,3,45,20,26,1,"Bolivia, Argentina, Paraguay,",1,1,6,7.5,1,Callichthyidae
24,Elegant cory,,Corydoras elegans,1,5.4,4,3,3,3,60,20,26,1,"Peru, Ecuador, Brazil,",1,1,6,7.5,0,Callichthyidae
25,False network catfish,,Corydoras sodalis,1,5.5,2,3,2,3,60,22,26,1,"Peru, Brazil,",1,1,6,7.5,0,Callichthyidae
26,Blackfin Cory,Peruvian Freckled Cory,Corydoras leucomelas,1,4.5,2,4,1,3,60,23,26,1,"Peru,",1,1,6,7.5,0,Callichthyidae
